Series,Year,Purchases
Fish,2005,104.2664529564
Eggs,2005,19.1160998303
Fats,2005,37.8916070037
Sugar and preserves,2005,16.9785613779
Fresh and processed potatoes,2005,100.6644276722
"Fresh and processed vegetables, excluding potatoes",2005,193.5820683575
Fresh and processed fruit,2005,188.4893033494
Bread,2005,96.731724515
Flour,2005,3.1736120808
"Cakes, buns and pastries",2005,61.207351785
Biscuits and crispbreads,2005,54.3817586734
Other cereals and cereal products,2005,172.7221315538
Beverages,2005,41.0912397216
"Other food and drink (mineral water, baby food, soups, pickles, ice cream, salt, artificial sweeteners, spices, mayonnaise etc.)",2005,124.0469957531
Soft drinks,2005,76.7578948212
Confectionery,2005,77.7920194635
Alcoholic drinks,2005,265.2572979476
Milk and milk products excluding cheese,2006,166.8713061384
Cheese,2006,64.0751380966
Carcase meat,2006,119.9698143086
Non-carcase meat and meat products,2006,384.5552943767
Fish,2006,111.2681804257
Eggs,2006,18.9011315577
Fats,2006,39.6836901632
